ID: 101536; DES Number: G0273E20; Time: 11:49:51
ID: 101566; DES Number: 66155524; Time: 11:50:04
ID: 101567; DES Number: 04481161; Time: 11:54:51
ID: 101537; DES Number: 51271229; Time: 11:55:31
ID: 101537; DES Number: 00000027; Time: 11:56:02
ID: 101568; DES Number: 00693945; Time: 11:56:32
ID: 101548; DES Number: 98704549; Time: 11:57:02
ID: 101549; DES Number: 00105021; Time: 11:57:34
ID: 101574; DES Number: 51271241; Time: 11:59:05
ID: 101550; DES Number: 51271240; Time: 11:59:40
ID: 101575; DES Number: 00340412; Time: 12:02:01
ID: 101576; DES Number: M2003079; Time: 12:02:39
ID: 101551; DES Number: 00642707; Time: 12:02:58
ID: 101577; DES Number: 84579394; Time: 12:03:26
ID: 101578; DES Number: 10088402; Time: 12:05:33
ID: 101552; DES Number: 00151285; Time: 12:05:58
ID: 101553; DES Number: 200121ER; Time: 12:07:26
ID: 101579; DES Number: 09379193; Time: 12:07:41
ID: 101580; DES Number: 80007096; Time: 12:09:23
ID: 101554; DES Number: 48678470; Time: 12:09:46
ID: 101581; DES Number: 00233686; Time: 12:11:07
ID: 101555; DES Number: 51271230; Time: 12:11:55
ID: 101582; DES Number: 4481161 ; Time: 12:12:23
ID: 101583; DES Number: 00693946; Time: 12:12:59
ID: 101556; DES Number: 201-V002; Time: 12:13:39
ID: 101557; DES Number: 81906499; Time: 12:14:29
ID: 101592; DES Number: 00931515; Time: 12:14:53
ID: 101593; DES Number: 05403A01; Time: 12:15:36
ID: 101558; DES Number: 81903962; Time: 12:16:26
ID: 101594; DES Number: 48678440; Time: 12:17:33
ID: 101559; DES Number: 51271237; Time: 12:18:30
ID: 101595; DES Number: 03007742; Time: 12:18:55
ID: 101560; DES Number: 51271234; Time: 12:19:46
ID: 101596; DES Number: 48678960; Time: 12:20:35
ID: 101561; DES Number: 03008115; Time: 12:20:59
ID: 101597; DES Number: 50053347; Time: 12:21:58
ID: 101562; DES Number: 83595003; Time: 12:22:47
ID: 101598; DES Number: 00931524; Time: 12:23:09
ID: 101563; DES Number: 0G0B9040; Time: 12:24:32
ID: 101599; DES Number: 02731069; Time: 12:24:51
ID: 101569; DES Number: 00R03700; Time: 12:25:40
ID: 101600; DES Number: 00931523; Time: 12:26:03
ID: 101601; DES Number: 48678478; Time: 12:26:37
ID: 101570; DES Number: 81907674; Time: 12:28:29
ID: 101610; DES Number: 00708335; Time: 12:28:55
ID: 101571; DES Number: 10934529; Time: 12:32:47
ID: 101611; DES Number: 00190640; Time: 12:33:17
ID: 101572; DES Number: 00048708; Time: 12:33:48
ID: 101612; DES Number: A29D2AS ; Time: 12:34:15
ID: 101573; DES Number: 01120698; Time: 12:36:05
ID: 101613; DES Number: 48678474; Time: 12:36:18
ID: 101584; DES Number: 48678495; Time: 12:38:08
ID: 101614; DES Number: 00014419; Time: 12:38:39
ID: 101585; DES Number: 002110,M; Time: 12:40:15
ID: 101615; DES Number: 48678930; Time: 12:40:37
ID: 101586; DES Number: 0EX20008; Time: 12:41:35
ID: 101616; DES Number: 10934831; Time: 12:43:32
ID: 101587; DES Number: 48439553; Time: 12:43:57
ID: 101617; DES Number: 89891540; Time: 12:44:20
ID: 101618; DES Number: 25766544; Time: 12:47:15
ID: 101588; DES Number: 11596984; Time: 12:47:38
ID: 101619; DES Number: 00827246; Time: 12:50:33
ID: 101628; DES Number: 00411094; Time: 12:52:21
ID: 101589; DES Number: 4S678296; Time: 12:54:10
ID: 101629; DES Number: 03948049; Time: 12:54:52
ID: 101590; DES Number: 80897390; Time: 12:55:16
ID: 101630; DES Number: 02731073; Time: 12:55:45
ID: 101631; DES Number: 10934464; Time: 12:59:24
ID: 101591; DES Number: 48678416; Time: 12:59:50
ID: 101632; DES Number: 81823431; Time: 13:00:15
ID: 101732; DES Number: 00000000; Time: 18:16:05
ID: 101763; DES Number: 60002917; Time: 09:16:41
ID: 101763; DES Number: 00000000; Time: 09:17:03
ID: 101825; DES Number: 83769495; Time: 09:21:20
ID: 101767; DES Number: 1-200121; Time: 09:28:35
ID: 101826; DES Number: /D-200Q7; Time: 09:28:56
ID: 101867; DES Number: 00014418; Time: 09:29:18
ID: 101827; DES Number: 200051MO; Time: 09:29:49
ID: 101768; DES Number: 81921185; Time: 09:30:06
ID: 101868; DES Number: 12250230; Time: 09:30:44
ID: 101833; DES Number: 20016136; Time: 09:31:18
ID: 101769; DES Number: 20010114; Time: 09:33:51
ID: 101834; DES Number: R200402A; Time: 09:34:17
ID: 101869; DES Number: 00462094; Time: 09:34:42
ID: 101835; DES Number: 02378825; Time: 09:35:16
ID: 101770; DES Number: AS200219; Time: 09:35:41
ID: 101870; DES Number: 12412150; Time: 09:36:01
ID: 101846; DES Number: 00301231; Time: 09:39:49
ID: 101871; DES Number: 091084G2; Time: 09:40:20
ID: 101871; DES Number: 00000000; Time: 09:40:32
ID: 101872; DES Number: 83445782; Time: 09:41:04
ID: 101847; DES Number: 20010113; Time: 09:41:20
ID: 101792; DES Number: 81821453; Time: 09:41:48
ID: 101873; DES Number: 00460791; Time: 09:43:25
ID: 101848; DES Number: 46822574; Time: 09:43:52
ID: 101874; DES Number: 32000371; Time: 09:44:22
ID: 101793; DES Number: 0120-045; Time: 09:44:50
ID: 101849; DES Number: 50338749; Time: 09:45:36
ID: 101794; DES Number: 59321702; Time: 09:45:53
ID: 101850; DES Number: 00095591; Time: 09:47:10
ID: 101896; DES Number: 02994405; Time: 09:47:38
ID: 101795; DES Number: 00133169; Time: 09:48:25
ID: 101851; DES Number: 98180835; Time: 09:49:03
ID: 101796; DES Number: 80423377; Time: 09:49:41
ID: 101797; DES Number: 05264A01; Time: 09:50:15
ID: 101897; DES Number: 11818451; Time: 09:50:34
ID: 101798; DES Number: 00931478; Time: 09:51:01
ID: 101852; DES Number: 00008773; Time: 09:51:31
ID: 101898; DES Number: eizooez9; Time: 09:52:22
ID: 101799; DES Number: 80681181; Time: 09:52:49
ID: 101899; DES Number: 04064900; Time: 09:53:15
ID: 101900; DES Number: I0461843; Time: 09:56:17
ID: 101805; DES Number: 00536250; Time: 09:56:50
ID: 101805; DES Number: 00000000; Time: 09:58:19
ID: 101806; DES Number: 81822176; Time: 09:58:51
ID: 101901; DES Number: 62328161; Time: 09:59:07
ID: 101876; DES Number: 83445780; Time: 10:01:38
ID: 101817; DES Number: 48682613; Time: 10:02:07
ID: 101965; DES Number: 01966532; Time: 11:03:56
ID: 101966; DES Number: -5200113; Time: 11:05:43
ID: 101888; DES Number: 01968519; Time: 11:06:07
ID: 101938; DES Number: 0462098 ; Time: 11:06:28
ID: 101967; DES Number: 03049751; Time: 11:06:56
ID: 101889; DES Number: 01975688; Time: 11:07:43
ID: 101939; DES Number: 17019332; Time: 11:08:09
ID: 101890; DES Number: 01075916; Time: 11:08:48
ID: 101968; DES Number: 00907544; Time: 11:09:08
ID: 101940; DES Number: 01084553; Time: 11:09:40
ID: 101891; DES Number: 13098881; Time: 11:10:32
ID: 101892; DES Number: 1963173 ; Time: 11:12:14
ID: 101986; DES Number: 00028402; Time: 11:12:40
ID: 101941; DES Number: 00121455; Time: 11:12:58
ID: 101987; DES Number: 04043534; Time: 11:13:28
ID: 101893; DES Number: 02795065; Time: 11:13:50
ID: 101942; DES Number: S2200423; Time: 11:14:54
ID: 101988; DES Number: 0-203038; Time: 11:16:01
ID: 101943; DES Number: 12304798; Time: 11:16:34
ID: 101894; DES Number: 60098621; Time: 11:16:59
ID: 101895; DES Number: 00397974; Time: 11:18:50
ID: 101944; DES Number: 04043399; Time: 11:20:48
ID: 101989; DES Number: 07004638; Time: 11:21:17
ID: 101906; DES Number: 62327121; Time: 11:22:03
ID: 101945; DES Number: 02790739; Time: 11:22:49
ID: 101917; DES Number: 03007/20; Time: 11:24:51
ID: 101990; DES Number: 20-03247; Time: 11:25:15
ID: 101957; DES Number: 00016703; Time: 11:25:46
ID: 101918; DES Number: 10486676; Time: 11:26:33
ID: 101991; DES Number: 2/750042; Time: 11:27:04
ID: 101958; DES Number: 02792677; Time: 11:27:33
ID: 101992; DES Number: 62297699; Time: 11:28:28
ID: 101919; DES Number: S2201473; Time: 11:28:46
ID: 101969; DES Number: 0-203321; Time: 11:29:13
ID: 101993; DES Number: 315797-2; Time: 11:29:49
ID: 101994; DES Number: 40/2020 ; Time: 11:31:15
ID: 101920; DES Number: 30299899; Time: 11:31:42
ID: 101971; DES Number: 27817256; Time: 11:32:10
ID: 101995; DES Number: 62309389; Time: 11:32:40
ID: 101921; DES Number: 02790740; Time: 11:33:07
ID: 101972; DES Number: 20000969; Time: 11:35:01
ID: 101922; DES Number: 04063298; Time: 11:35:31
ID: 101973; DES Number: 0-203036; Time: 11:36:01
ID: 102018; DES Number: 20020490; Time: 11:36:30
ID: 101974; DES Number: 2-200211; Time: 11:37:33
ID: 101923; DES Number: 31005922; Time: 11:37:59
ID: 102019; DES Number: 12264932; Time: 11:38:35
ID: 101975; DES Number: 62279070; Time: 11:39:06
ID: 101924; DES Number: 01964965; Time: 11:39:35
ID: 102020; DES Number: 35881822; Time: 11:40:04
ID: 101976; DES Number: -BLU/20 ; Time: 11:40:34
ID: 101935; DES Number: 15797398; Time: 11:41:18
ID: 102021; DES Number: 25414331; Time: 11:41:49
ID: 101985; DES Number: 66201480; Time: 11:42:30
ID: 102022; DES Number: 00000000; Time: 11:43:58
ID: 101996; DES Number: 01970880; Time: 11:44:26
ID: 101946; DES Number: 00121453; Time: 11:44:44
ID: 101997; DES Number: 00336812; Time: 11:45:28
ID: 102023; DES Number: 0-202483; Time: 11:45:46
ID: 101947; DES Number: 05645724; Time: 11:46:18
ID: 101998; DES Number: 27806171; Time: 11:46:46
ID: 102024; DES Number: 65051001; Time: 11:47:17
ID: 101948; DES Number: 0A20/694; Time: 11:48:09
ID: 101999; DES Number: 51880101; Time: 11:48:43
ID: 102025; DES Number: M20-0432; Time: 11:49:11
ID: 101949; DES Number: 45813161; Time: 11:49:40
ID: 102000; DES Number: 23454781; Time: 11:51:17
ID: 101950; DES Number: 62309384; Time: 11:51:45
ID: 102026; DES Number: 62302712; Time: 11:52:06
ID: 102001; DES Number: 12176490; Time: 11:52:44
ID: 101951; DES Number: 09158670; Time: 11:53:12
ID: 102027; DES Number: 04043533; Time: 11:53:40
ID: 102002; DES Number: 20001048; Time: 11:54:13
ID: 102003; DES Number: 01379617; Time: 11:54:52
ID: 101952; DES Number: 01171919; Time: 11:55:44
